id,title,description,typeDescription,roomType,discountedPrice,price,day5Price,url,ratingValue,ratingReviewsCount,ratingGuestSatisfaction,ratingCommunication,ratingCleanliness,ratingAccuracy,ratingLocation,hostID,hostName,hostAbout,hostRating,hostIsSuper,hostTimeResponse,hostResponseRate,coordinates/latitude,coordinates/longitude,highlights,highlightsHost,highlightsLocation,origin
23562655,Sofisticado Loft Mobiliado no Coração do Umarizal,"Sofisticado Loft de 52 m2, no coração do Bairro do Umarizal, às proximidades do melhor shopping da cidade e de vários dos mais badalados bares e restaurantes. Em excelente estado de conservação, completamente mobiliado e decorado, a habitação se situa em um edifício moderno, dotado de vários serviços voltados à comodidade e ao bem estar do morador, como serviço de camareira, agência bancária, casa de câmbio, agência de turismo, restaurante, lavanderia, academia, sauna e um rooftop com piscina.O espaçoO loft é localizado no centro do bairro mais nobre e valorizado da cidade. A poucos passos se encontra o melhor shopping e os melhores bares e restaurantes. Também a curta distância há todo o tipo de serviços, como, por exemplo, farmácias, supermercados, bancos e lavanderias, além de vários dos melhores edifícios comerciais da cidade, que contam com escritórios de advocacia, imobiliárias, consultórios médicos e odontológicos, órgãos públicos, entre outros. Ficando hospedado nesse Loft, o hóspede terá facilidade em realizar negócios durante o dia e, durante a noite, estará na principal área de badalação da vida noturna de Belém, embora o Loft, por sua altura, conte com um silêncio total para uma excelente noite de sono. Ademais, o hóspede contará com uma camareira que faz uma faxina simples diariamente, sem qualquer custo extra.Acesso do hóspedeO edifício em que o Loft está inserido conta com um rooftop equipado com piscina, sauna, sala de descanso, salão de jogos e academia, e com um excelente restaurante no térreo, espaços que o hóspede tem total acesso. Ademais, há uma vaga de garagem gratuita, no próprio edifício, destinada ao hóspede.","Espaço inteiro: loft em Belém, Brasil",Entire home/apt,,R$423,R$1.710,https://www.airbnb.com/rooms/23562655?locale=pt-BR&currency=BRL&check_in=2025-02-22&check_out=2025-02-27,4.8,186.0,4.94,4.94,4.89,4.97,4.98,RGVtYW5kVXNlcjoxMDUwMTgxOTk=,Gabriel,"Brasileiro e Português.
Bacharel em Direito, Advogado no Brasil e em Portugal e Mestre em Direito pela Universidade de Coimbra.",4.9,True,Responde em até 1 hora,Taxa de resposta: 100%,-1.4459730386734009,-48.484031677246094,"['Aproveite para dar um mergulho', 'Academia em casa', 'Self check-in', nan]","['Idiomas: inglês, francês, português e espanhol', 'Moro em: Pará, Brasil', nan, nan, nan]","['O bairro do Umarizal é o mais nobre da cidade de Belém. Repleto de bares e restaurantes, sedia também os principais edifícios residenciais e comerciais da cidade, tendo uma vasta gama de serviços a poucos minutos de caminhada.', 'A melhor forma de acessar o Loft, vindo do aeroporto ou da rodoviária, é através de carros vinculados a aplicativos ou de táxi.']",blm
912967533767582954,"bela vista, ótima localização, conforto","AP 1/4 moderno, aconchegante, em local seguro próximo de supermercado, shopping, bares/restaurantes, pontos turísticos andar alto, com vista, edifício com 2 piscinas, academia,  hidro, saunaINCLUSO-Roupa de cama e toalhas- 1 vaga garagem- Cozinha completa- Lava louças - Maquina lava e seca roupas- Smart TV 65"" c/ Netflix- Wifi- Alexa (Automação Residencial)- Cafeteiral, expresso/cápsulas Nestlé e três ❤️- Churrasqueira elétrica-Ar-cond no quarto e sala- Ferro de Passar- SecadorO espaçoo edifício é bem completo, possui piscna com borda infinita,  piscina coberta, hidromassagem,  sauna, sala de massagem, academia, brinquedoteca, uma vaga de garagem exclusiva do apartamento,  você  pode fazer a reserva com até 2 pessoas para disfrutarem de tudoAcesso do hóspedea fechadura é  eletrônica,  você  faz seu auto check-in na recepção 24h do prédio,  podendo chegar durante a madrugada sem problemas,  pois não será necessário pegar chave ou falar com o AnfitriãoOutras observaçõesRegras importantes a saber antes da reserva:1- Não é permitido a realização de festas, levar caixas de som alta, perturbar o sossego dos outros moradores. somente os Hóspedes cadastrados na reserva terão acesso ao Edifício e aos espaços de lazer,  para receber visita de familiares no apartamento, fale antes com Fred o Anfitrião para ele autorizar a entrada junto a administração,  o condomínio é bastante rígido com segurança e regras para boa convivência entre os Hóspedes e moradores, se você é uma pessoa educada não há o que temer, será muito bem vinda(o)","Espaço inteiro: apartamento em Belém, Brasil",Entire home/apt,,R$518,R$2.060,https://www.airbnb.com/rooms/912967533767582954?locale=pt-BR&currency=BRL&check_in=2025-03-06&check_out=2025-03-11,4.96,54.0,4.96,4.98,4.91,4.98,4.94,RGVtYW5kVXNlcjoxNjg2MTg1MTM=,Fred,,4.96,True,Responde em até 1 hora,Taxa de resposta: 100%,-1.4412,-48.49105,"['No top 10% das acomodações', 'Comodidades ao ar livre', 'Cancelamento gratuito por 48 horas', nan]","['Moro em: Belém, Brasil', nan, nan, nan, nan]","['bairro nobre, próximo  a shopping,  supermercados  e aos principais pontos turísticos da cidade', nan]",blm
1253877901508012768,Quarto e cozinha bem localizado acesso individual.,"Local privilegiado com entrada independente. Oferecemos segurança e tranquilidadeAmbiente com quarto, cozinha e banheiro, totalmente individual, sem a necessidade de dividir espaço. O local dispõe de tv, ar-condicionado, cama de casal, geladeira , fogão e utensílios doméstico, proporcionando uma comodidade única.❤️Perto do ver-o-peso, Basílica de Nazaré, Doca de Sousa Franco, praça da república, estação das Docas, Ver o Rio… enfim , vc vai estar conectado a Belém do Pará ❤️ da Amazônia.O espaçoNossa pequena cozinha é aconchegante e funcional, o mesmo podemos falar de nosso banheiro, e o quarto oferece uma cama de casal, uma cômoda, armário  em um ambiente climatizado com ti e Wi-Fi .Acesso do hóspedeO acesso do hóspede é totalmente independente e seguro. Sua localização permite várias opções de transporte por se tratar de um local privilegiado","Espaço inteiro: casa em Belém, Brasil",Entire home/apt,,R$135,R$575,https://www.airbnb.com/rooms/1253877901508012768?locale=pt-BR&currency=BRL&check_in=2025-02-24&check_out=2025-03-01,4.93,14.0,4.93,5.0,5.0,4.93,4.93,RGVtYW5kVXNlcjo2NTQwNDU3NDI=,Cirlene,,4.9,True,Responde em até 1 hora,Taxa de resposta: 100%,-1.44393,-48.48557,"['Experiência de check-in excepcional', 'Ótimos restaurantes por perto', 'Cancelamento gratuito antes de 19 de fev', nan]","[nan, nan, nan, nan, nan]","[nan, nan]",blm
1005937618095866893,Quarto com vista para o rio,"O apartamento é simples, mas arejado e iluminado. Janelas são grandes e uma boa vista da cidade. Há 9 gatos carinhosos e dispostos a fazer companhias agradáveis. O prédio é antigo, mas bem localizado. Aos arredores temos comércio, shoppings, museus e restaurantes. A cama possui colchão ortopédico e o quarto dispõe de ar condicionado, televisão, mesa de escritório, cabideiro, toalha e sabonete. Lembrando que não sou hotel, mas posso receber hóspedes com carinho e atenção. Bem vindes.O espaçoOs cômodos são amplos, ventilados e iluminados naturalmente. O prédio é antigo, mas confortável. Com portaria 24h e vaga de garagem.Acesso do hóspedeOs hóspedes podem usar todas as áreas do apartamento.Durante sua estadiaCostumo me comunicar principalmente via Whats App com os hóspedes. Mas fico disponível 24h para qualquer situação inesperada.Outras observaçõesAtualmente tenho 9 gatinhos em casa. Quem não gostar de felinos, melhor buscar por outra hospedagem.","Quarto em Belém, Brasil",Private room,,R$135,R$530,https://www.airbnb.com/rooms/1005937618095866893?locale=pt-BR&currency=BRL&check_in=2025-02-16&check_out=2025-02-21,4.96,27.0,4.93,4.96,4.96,4.96,5.0,RGVtYW5kVXNlcjoxODg3NzQyNjE=,Flavia,"Viagens, músicas e felinos.",4.93,True,Responde em poucas horas,Taxa de resposta: 100%,-1.4551776228615965,-48.4960700199008,"['No top 5% das acomodações', 'Quarto em apartamento', 'Fique no fresquinho', nan]","['Nasci na década de 90', 'Meu trabalho: Bancária', 'Música favorita na adolescência: Roda viva', 'Pets: Amo gatinhos e cachorrinhos.', 'Posso passar tempo com os hóspedes ou deixá-los mais à vontade']","[nan, nan]",blm
1310394345938397835,Suíte somente para você no bairro Marambaia.,"Uma suíte somente para você no bairro Marambaia,  excelente localização em Belém/PA. Wi-fi potente! Com cama confortável (1 de casal e 1 de solteiro),  local para guardar roupas, ferro de passar roupas, cafeteira elétrica, grill para esquentar pão, mesa para refeições, mesa para estudo/trabalho. Banheiro privativo. Entrada privativa. Cortina black-out. Tem pátio/varanda, neste fica a pia para lavar louças e tanque para lavar roupa manualmente. Estacionamento coberto gratuito. Aguardo você!O espaçoÉ um cômodo espaçoso e ideal para quem não precisará cozinhar, pois é estilo suíte, com local para dormir, trabalhar/estudar, tem cafeteira, grill para esquentar pão, pratos, talheres, copos, xícaras, ferro de passar roupa a seco, itens básicos de limpeza emergencial, tanque para lavar roupa manualmente,  pia para lavar louça,  varanda/pátio, excelente Wi-Fi disponível e banheiro.Acesso do hóspedeO hóspede tem acesso privativo à suíte e as chaves ficam com o hóspede durante a estadia. A suíte não é compartilhada com a anfitriã.Outras observaçõesO ambiente é tranquilo, bom pra quem quer descansar, trabalhar em home office, estudar etc.Não é permitido receber visita; não é permitido fumar no local; não é permitido fazer gravação publicitária; não é permitido fazer festa no local. É obrigatório o documento de identificação no ato da reserva. Obrigada! Será um prazer receber você!! Qualquer dúvida, entre em contato comigo.","Microcasa em Belém, Brasil",Entire home/apt,R$69,R$69,R$330,https://www.airbnb.com/rooms/1310394345938397835?locale=pt-BR&currency=BRL&check_in=2025-02-15&check_out=2025-02-20,4.8,15.0,4.87,4.87,4.93,4.93,5.0,RGVtYW5kVXNlcjoyNDM5ODkyMzk=,Thais,"Sou uma mulher de 28 anos que é filha/parceira de vida da minha mãe Natalina. Fui diagnosticada dentro do espectro autista aos 27/28 anos. Atualmente estou no Airbnb e a cada hóspede é uma nova experiência, está sendo legal. Sou eu mesma quem arruma o lugar, faz reforma, instala os móveis etc, faz limpeza, sou uma ""faz tudo"" que está se descobrindo a cada amanhecer e muito mais após o diagnóstico de autista,  consigo me entender e me respeitar.",4.91,False,Responde em até 1 hora,Taxa de resposta: 100%,-1.4137074925072943,-48.43961208249292,"['No top 10% das acomodações', 'Experiência de check-in excepcional', 'Paz e tranquilidade', nan]","['Meu trabalho: Pereirão/Faz tudo', 'Curiosidade: Estou no espectro autista.', nan, nan, nan]","[nan, nan]",blm
35282485,Quarto silencioso próximo ao Bosque,"Ambiente familiar calmo e aconchegante.O quarto tem uma cama de casal e varanda com vista para a cidade. Fica há 2 minutos do Bosque (jardim botânico). Bem localizado no bairro do Marco. Próximo à supermercados, padarias, bares, restaurantes e ao Centro de Convenções da Amazônia (Hangar). Cerca de 15 minutos de carro do aeroporto.O prédio é seguro com portaria 24h e 2 elevadores.A anfitriã é sra. Beti, mora no apartamento e está sempre disponível para ajudar os hóspedes.","Quarto em Marco, Brasil",Private room,,R$119,R$505,https://www.airbnb.com/rooms/35282485?locale=pt-BR&currency=BRL&check_in=2025-02-20&check_out=2025-02-25,4.88,84.0,4.9,4.92,4.95,4.93,4.95,RGVtYW5kVXNlcjo5NDYyMDAyMg==,Nathalia,"Eu sou filha da Beti, minha mãe estava vivendo a síndrome do ninho vazio depois de criar 3 filhas. Um dia minha irmã teve a ideia de colocar um quarto da casa dela no Airbnb e eu administro a conta.

Se você está lendo isso é porque uma mãe resolveu continuar fazendo seu melhor trabalho, cuidar de pessoas! 

Agora você sabe um pouco mais sobre nossa entrada na comunidade Airbnb. Espero que tenha gostado.

Aproveite Belém!",4.9,True,Responde em até 1 hora,Taxa de resposta: 100%,-1.43377,-48.45926,"['No top 5% das acomodações', 'Quarto em apartamento', 'Cancelamento gratuito antes de 19 de fev', nan]","['Idiomas: francês', 'Moro em: State of Pará, Brasil', 'Sempre faço pelos hóspedes: Indico bons passeios e restaurantes', 'O que torna meu espaço único: É como uma casa de mãe', nan]","['Bairro residencial, tranquilo, com local próximo para caminhadas ao ar livre, muitas opções de padarias e café da manhã regional (tapioquinha etc), supermercados e restaurantes para todos os gostos.', nan]",blm
1327049905751092176,Quarto com excelente localização,"Suíte ampla e aconchegante com entrada lateral independente, perfeita para 2 pessoas.Localização estratégica: a 1 km (5 minutos) do aeroporto e próximo a Shopping, Farmácias, Praça e Mercados. Ponto de taxi e parada de ônibus próximos. Conforto completo com Frigobar, chuveiro elétrico, Smart TV, guarda-roupa amplo, mesa e cadeira para home office, além de ter uma área lateral privativa com um sofá cama. Incluso toalhas de banho, lençóis de cama, Wi-Fi e ar-condicionado.O espaçoLocal calmo e tranquilo, sem barulho.Acesso do hóspedeEntrada independente pelo lado da residência, dá acesso diretamente ao quarto de hospedes.Durante sua estadiaQualquer duvida ou ajuda, estarei a disposição para que sua estadia seja a melhor possível. 😁Outras observaçõesPonto de taxi, supermercado, lanchonetes e praça dentro do conjunto. Aproximadamente a 1 km do aeroporto e fácil acesso para chegar na residencia. Conjunto sem barulho de carros e som alto, super tranquilo para ficar.","Quarto em Belém, Brasil",Private room,,R$145,R$618,https://www.airbnb.com/rooms/1327049905751092176?locale=pt-BR&currency=BRL&check_in=2025-03-07&check_out=2025-03-12,5.0,4.0,5.0,5.0,5.0,5.0,5.0,RGVtYW5kVXNlcjo1NjA1MjgzNTc=,Daniel,,5.0,False,Responde em até 1 hora,Taxa de resposta: 100%,-1.39689,-48.4746,"['Quarto em casa', 'Experiência de check-in excepcional', 'Paz e tranquilidade', nan]","['Nasci na década de 90', 'Meu trabalho: Empreendedor', 'Moro em: Belém, Brasil', 'O que torna meu espaço único: Lugar calmo e tranquilo', 'Sempre faço pelos hóspedes: Frigobar sempre abastecido']","[nan, nan]",blm
41744419,"STUDIO 306 | WIFI 600MB | RESIDENCIAL JC, um lugar para se locomover.","O apartamento 306 é aconchegante, alinhado e oferece todo o conforto necessário para a sua estadia. Pensado e planejado para receber você.Apê a 100 metros da praça Batista Campos em rua tranquila e segura. Supermercado, farmácia, padaria, restaurantes, shopping, banco, hospital, ponto de táxi e ônibus e mais a um passo de distância.O melhor custo benefício da região para quem quer estar bem localizado e perto de tudo.O espaçoO apartamento está pronto para receber você e sua família com toda a estrutura de conforto, segurança e aconchego. Cada detalhe foi pensado para isso.Chegue apenas com suas malas, o resto estará pronto para você.No Apê:-Wi-fi de 600mb-Check-in 24h-Smart tv 32”-Roupas de cama e banho inclusas-Cozinha compactaÁreas comuns-Lavanderia com tanque no quarto andar-Varal de roupas disponível para o uso dos hóspedes-Solário com vista para cidadeÉ realmente um excelente custo benefício ficar neste condomínio e estamos ansiosos para te receber.Acesso do hóspedeNossos hóspedes poderão utilizar todas as áreas comuns do prédio. O acesso ao condomínio é feito a partir da liberação das informações do lockbox (caixa com as chaves). Após a confirmação da reserva você receberá a numeração da sua lockbox e sua senha.Outras observaçõesA localização é uma das melhores de Belém. Estamos a 100 metros do supermercado Líder 24horas, além contar com a farmácia extrafarma em nossa esquina. Ainda, estamos na mesma travessa do shopping Pátio Belém, porém com a tranquilidade do bairro. A praça Batista Campos, o centro comercial, a estação das docas, o ver o peso e outras localizações são pontos importantes que ficam próximos ao studio.","Espaço inteiro: apartamento em Belém, Brasil",Entire home/apt,,R$201,R$995,https://www.airbnb.com/rooms/41744419?locale=pt-BR&currency=BRL&check_in=2025-03-04&check_out=2025-03-09,4.73,83.0,4.95,4.86,4.94,4.89,4.89,RGVtYW5kVXNlcjoyMDYyMzYyMjM=,Alexandre,"Olá! Obrigado por chegar até aqui. Me chamo Alexandre, serei seu anfitrião em Belém. Sou o  proprietário do prédio e no inicio tive como ideia a prospecção de uma renda passiva, porém as dificuldades das locações tradicionais me fizeram buscar novas alternativas como o Airbnb. Iniciei com apenas um apartamento na modalidade de temporada em julho de 2019 e, quando dominei a plataforma,  me joguei de cabeça no trabalho! Trabalhar com aluguéis por temporada é muito gratificante, temos a oportunidade de conhecer gente nova, do mundo inteiro, todos os dias. Essa troca de experiência nos completa. Atualmente possuo 15 apartamentos no Airbnb, sou empresário do comércio e tenho como paixão o Botafogo e o motociclismo. Sejam todos muito bem-vindos! ",4.93,True,Responde em até 1 hora,Taxa de resposta: 100%,-1.462184,-48.48811,"['Self check-in', 'Ótima localização', 'Cancelamento gratuito por 48 horas', nan]","['Meu trabalho: Jc Residencial e Administração.', 'Idiomas: inglês e português', nan, nan, nan]","['Estamos localizados no coração de Batista Campos, bairro nobre e um dos principais de Belém/PA. Nossa rua é movimentada, segura e cômoda. Além disso, ficamos a um passo da praça Batista Campos, onde é possível praticar exercícios de caminhada, corrida, musculação e afins. A praça oferece sua beleza amazônica com árvores centenárias, lagos e muita natureza. No bairro ainda contamos com a feira livre de Batista Campos, supermercado 24 horas a poucos metros do residencial, farmácia na esquina, academias na redondeza, restaurantes, faculdades, bancos, hospitais, lojas americanas, pontos de táxi, ônibus e tudo que você precisa.', 'https://goo.gl/maps/ArFsTs2C8LQS3R1g7']",blm
791310251933878840,Quarto na melhor localização,"Sejam bem-vindos! 🤍 LEIA A ABA REGRAS DA CASA  ANTES DE REALIZAR A RESERVA.🤍 ESTAMOS TRABALHANDO EXTERNO NO HORÁRIO DE CHECKIN. AS CHAVES SÃO RETIRADAS EM OUTRO ENDEREÇO BEM PERTINHO DO NOSSO.Casa e quarto aconchegantes e tranquilos, perto de tudo, na melhor localização de Belém. Perto de vários pontos turísticos e do Círio de Nazaré.Temos o maior prazer de conversar e dar dicas da cidade, locais e interiores.O espaçoQuarto do hospede é fresquinho e isolado dos outros quartos da casa, com janela telada para mais conforto e segurança, temos uma sala grande e ventilada, uma cozinha com tudo aquilo que você precisa. Nosso prédio é arborizado e charmoso com tudo pertinho.Acesso do hóspedeVocê pode compartilhar os espaços em comuns da casa e fazer uso dos itens básicos :)Durante sua estadiaÉ um prazer ajudar e conversar sobre a cidade e locais pra ir e dar dicas de pousadas e lugares pra visitar no interior. O Pará é lindo demais de conhecer.Outras observaçõesSejam bem-vindos! 🤍 LEIA A ABA REGRAS DA CASA  ANTES DE REALIZAR A RESERVA.🤍 ESTAMOS TRABALHANDO EXTERNO NO HORÁRIO DE CHECKIN. AS CHAVES SÃO RETIRADAS EM OUTRO ENDEREÇO BEM PERTINHO DO NOSSO.Nosso apartamento é no térreo, não possuímos chuveiro elétrico nem ar condicionado Nosso prédio não tem estacionamento.","Quarto em Belém, Brasil",Private room,R$62,R$62,R$330,https://www.airbnb.com/rooms/791310251933878840?locale=pt-BR&currency=BRL&check_in=2025-02-18&check_out=2025-02-23,4.76,86.0,4.78,4.91,4.69,4.84,4.97,RGVtYW5kVXNlcjo0ODUwMzIzOTY=,Celina,,4.81,True,Responde em poucas horas,Taxa de resposta: 100%,-1.45006,-48.48793,"['Quarto em apartamento', 'Paz e tranquilidade', 'Espaço de trabalho exclusivo', nan]","['Onde estudei: faculdade fibra', 'Meu trabalho: Secretariado exec.', 'Passo muito tempo: Trabalhando e estudando', 'Sempre faço pelos hóspedes: repasso recomendações quando solicitado', 'O que torna meu espaço único: além da localização nossa hospitalidade']","['O bairro mais charmoso da cidade. Perto de todos os pontos turísticos. Ótimos  restaurantes e baladas próximas.', 'Uber, taxi, bicicleta e ônibus. Bem pertinho tem várias paradas de ônibus pra todo lugar.']",blm
900596593790350889,Espaço Confortável e Tranquilo,Relaxe com toda a família nesta acomodação tranquila.Outras observaçõesA suíte possui ar condicionado e o quarto com bicama possui ventilador de pé.,"Espaço inteiro: apartamento em Ananindeua, Brasil",Entire home/apt,,R$173,R$675,https://www.airbnb.com/rooms/900596593790350889?locale=pt-BR&currency=BRL&check_in=2025-02-23&check_out=2025-02-28,4.86,77.0,4.92,4.99,4.95,4.9,4.58,RGVtYW5kVXNlcjo1MDk1MTA4NDk=,Ecila,,4.92,True,Responde em até 1 hora,Taxa de resposta: 100%,-1.3808604,-48.4150798,"['Fique no fresquinho', 'Aproveite para dar um mergulho', 'Cancelamento gratuito antes de 22 de fev', nan]","['Passo muito tempo: Mídias Sociais; Artesanato', 'Curto muito: Cozinhar e reunir os amigos!', nan, nan, nan]","[nan, nan]",blm
